categ.DS	ID	area
Wood	0	6386.826
Wood	18	9552.954
Wood	19	2345.852
Wood	20	0
Wood	21	0
Wood	22	3738.826
Wood	23	0
Wood	24	0
Wood	25	20550.561
Wood	70	934.462
Wood	71	1093.045
Wood	73	5778.708
Wood	74	1063.959
Wood	75	3149.965
Wood	76	1399.793
Wood	77	3958.957
Wood	78	280.713
Wood	79	915.425
Wood	80	0
Wood	81	36626.217
Wood	82	2275.062
Wood	83	11118.19
Wood	84	2.164
Wood	85	273.356
Wood	86	9567.177
Wood	87	390.618
Wood	88	55855.323
Wood	96	2042.786
Wood	108	3701.821
Wood	109	2509.039
Wood	110	0
Wood	111	2.352
Wood	112	27.199
Wood	113	3525.863
Wood	114	43582.568
Wood	115	5665.685
Wood	116	0
Wood	117	0
Wood	118	0
Wood	119	0
Wood	126	956.707
Wood	127	4705.838
Wood	134	4897.064
Wood	135	2484.104
Wood	136	21799.72
Wood	154	8046.841
Wood	166	7633.839
Wood	169	84460.024
Wood	171	25422.43
Wood	173	2127.989
Wood	183	52625.956
Wood	184	12390.501
Wood	185	0
Wood	192	5.27
Wood	198	16224.459
Wood	203	81844.701
Wood	206	0
Wood	207	41224.52
Wood	209	454.431
Wood	210	798.99
Wood	1231	18187.799
Tall_S	0	0
Tall_S	4	3092.787
Tall_S	7	162.542
Tall_S	8	0
Tall_S	9	4362.241
Tall_S	10	730.404
Tall_S	11	3362.061
Tall_S	12	7785.181
Tall_S	13	2231.921
Tall_S	14	1091.438
Tall_S	15	1570.288
Tall_S	16	78.374
Tall_S	17	3098.323
Tall_S	97	15671.042
Tall_S	114	360.91
Tall_S	122	0
Tall_S	123	2650.879
Tall_S	125	1592.397
Tall_S	128	5341.574
Tall_S	129	39.963
Tall_S	130	2407.613
Tall_S	131	0
Tall_S	132	4419.406
Tall_S	133	7495.469
Tall_S	137	1750.284
Tall_S	139	3145.962
Tall_S	144	7969.048
Tall_S	145	3502.275
Tall_S	146	1009.204
Tall_S	147	15133.573
Tall_S	148	5052.071
Tall_S	149	20542.948
Tall_S	151	0
Tall_S	152	63981.547
Tall_S	156	0
Tall_S	177	205288.509
Tall_S	182	66605.877
Tall_S	192	67.946
Low_S	0	37684.141
Low_S	26	55456.221
Low_S	27	5976.362
Low_S	28	518.894
Low_S	30	0
Low_S	32	0
Low_S	34	0
Low_S	35	283.398
Low_S	36	0
Low_S	37	0
Low_S	38	85694.197
Low_S	40	510.103
Low_S	41	0
Low_S	44	4153.177
Low_S	89	2218.033
Low_S	90	0
Low_S	91	0
Low_S	92	0
Low_S	93	0
Low_S	94	0
Low_S	95	3122.866
Low_S	98	4274.124
Low_S	100	0
Low_S	101	12129.595
Low_S	102	2781.894
Low_S	103	6464.854
Low_S	104	7780.45
Low_S	105	213.848
Low_S	106	3533.099
Low_S	153	41740.688
Low_S	175	26040.274
Low_S	176	10516.928
Low_S	181	86231.028
Low_S	189	6228.586
Low_S	192	5.438
Low_S	192	1.654
Low_S	193	95498.522
Low_S	194	13697.534
Low_S	195	167189.024
Meadow	3	1087.85
Meadow	63	1291.424
Meadow	64	982.595
Meadow	65	267.26
Meadow	66	508.49
Meadow	67	236.525
Meadow	68	5457.794
Meadow	69	328.592
Meadow	99	24573.177
Meadow	192	5.804
Meadow	192	8.514
Meadow	217	1803.501
Meadow	217	109.853
Meadow	218	581.458
Meadow	218	828.169
Urban	45	4386.555
Urban	46	2851.733
Urban	47	5785.639
Urban	48	2.589
Urban	49	426.801
Urban	50	14298.321
Urban	51	7564.438
Urban	52	52.342
Urban	53	0
Urban	54	310.931
Urban	55	0
Urban	56	0
Urban	57	1633.546
Urban	58	5429.263
Urban	59	11941.103
Urban	60	0
Urban	61	621.041
Urban	62	8680.199
Urban	107	2327.258
Urban	140	138.407
Urban	141	3545.963
Urban	143	0
Urban	172	17766.379
Urban	178	0
Urban	180	1471.36
Urban	186	37.947
Urban	186	5020.743
Urban	187	6028.633
Urban	190	5.238
Urban	190	184.876
Urban	191	356.778
Urban	192	53.186
Urban	192	24.894
Urban	197	682.493
Urban	199	967.356
Urban	200	192.104
Urban	201	1420.62
Urban	204	595.118
Urban	205	594.921
Urban	213	33.993
Urban	213	5471.088
Urban	214	7004.264
Urban	215	882.148
Urban	216	1413.756
Urban	27.4	28327.764
Low_S	25.2	26053.272
Tall_S	19.4	20056.884
Meadow	2.6	2688.036
Wood	25	25846.5
