V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18
104	Bombus	unif	none	8081.762023	1085.33819	228.5401836	0.028333333	0.006454972	0.003333333	0.000890871	0.004242424	0.000790206	0	0	0.003846154	0.001122558
73	Bombus	unif	none	4248.614744	1181.475247	302.5743275	0.054666667	0.024280765	0.00047619	0.00047619	0.002424242	0.001014133	0	0	0.000769231	0.00040542
75	Bombus	unif	none	3754.650943	1231.96938	283.2610726	0.052666667	0.024707174	0.000833333	0.000833333	0.001515152	0.000824332	0	0	0.00047619	0.000323508
72	Bombus	unif	none	5433.218431	1354.84237	363.7329682	0.064	0.022271057	0.000416667	0.000416667	0.001818182	0.000938905	0.001111111	0.001111111	0.002142857	0.001190476
78	Bombus	unif	none	3788.28901	1359.894141	212.4458044	0.036	0.014659089	0.001666667	0.001666667	0.001818182	0.001040943	0.001111111	0.001111111	0.000277778	0.000277778
74	Bombus	unif	none	5364.838231	1425.148878	344.4197133	0.060666667	0.027656625	0.000833333	0.000545545	0.003	0.001160034	0	0	0.001282051	0.000804055
62	Bombus	unif	none	3754.227592	1465.592051	357.2952166	0.070666667	0.034663461	0.000416667	0.000416667	0.000909091	0.000469453	0.001111111	0.001111111	0	0
84	Bombus	unif	none	5281.257144	1477.687326	148.0682879	0.022666667	0.004136558	0.0025	0.001595712	0.001666667	0.00113855	0.001666667	0.001666667	0.002380952	0.001198386
61	Bombus	unif	none	3953.327203	1553.855444	331.54421	0.062666667	0.036429536	0	0	0.001515152	0.000691015	0.001111111	0.001111111	0.000714286	0.000379346
76	Bombus	unif	none	5258.61206	1585.804247	280.0421968	0.05	0.020221001	0.002380952	0.001884816	0.000666667	0.000666667	0.003333333	0.000149806	0.001212121	0.000677596
78	Bombus	hr	none	4299.056061	1615.884794	214.181296	0.040853804	0.017247158	0.00189138	0.001903086	0.002063323	0.001203457	0.00126092	0.001268724	0.00031523	0.000317181
82	Bombus	unif	none	6101.672384	1665.332471	263.9478176	0.040666667	0.019927647	0.003333333	0.001781742	0.001818182	0.001219673	0.003333333	0.003333333	0.001282051	0.000601335
78	Bombus	hn	none	4588.882077	1753.135577	212.4453092	0.043608013	0.018649857	0.002018889	0.00203607	0.002202425	0.001293389	0.001345926	0.00135738	0.000336482	0.000339345
78	Bombus	hn	observer	4622.457945	1762.184128	215.89691	0.044765628	0.018857493	0.002042993	0.002064915	0.002091875	0.001284519	0.001361995	0.00137661	0.00036704	0.000379729
73	Bombus	hn	none	6072.954794	1766.779004	294.038706	0.078140339	0.035343717	0.000680665	0.000683147	0.003465203	0.001479551	0	0	0.001099536	0.000587078
104	Anthophora	unif	none	8510.466298	1814.083681	164.1626671	0.003333333	0	0.0025	0.001636634	0.006969697	0.002397581	0.003333333	0.003333333	0.004102564	0.001077737
78	Bombus	unif	adjust	4686.632699	1814.201579	212.7476353	0.044536934	0.019248768	0.002061895	0.002083418	0.00224934	0.001328375	0.001374597	0.001388945	0.000343649	0.000347236
73	Bombus	unif	adjust	6259.074378	1815.149701	291.725801	0.080535128	0.036379146	0.000701526	0.000703896	0.003571403	0.001522652	0	0	0.001133234	0.000604502
73	Anthophora	unif	none	20307.72411	1846.974917	395.9217265	0.004666667	0.001333333	0.003333333	0.001454786	0.014848485	0.002783923	0.004444444	0.002939724	0.014358974	0.001025641
72	Bombus	hr	none	7368.99971	1931.407984	346.8385876	0.086802323	0.031007739	0.000565119	0.000566957	0.002465975	0.001288884	0.001506985	0.001511885	0.002906328	0.001631577
105	Bombus	unif	none	10553.51566	1933.454462	260.7289418	0.035	0.015723302	0.002380952	0.000952381	0.004333333	0.000867806	0	0	0.007777778	0.002357023
72	Bombus	hr	observer	7438.968983	1969.126178	346.3316823	0.091056477	0.033735062	0.000634815	0.000637808	0.002419683	0.001400284	0.001692841	0.001700821	0.0026881	0.001475073
76	Bombus	hr	none	6437.715717	1986.038611	271.5059985	0.061211168	0.025073502	0.002914818	0.002315221	0.000816149	0.000817875	0.004080745	0.000313057	0.001483907	0.000835132
105	Anthophora	unif	none	13162.47398	2061.048697	206.0080528	0.001666667	0.00096225	0.002380952	0.000952381	0.011	0.001409842	0.003333333	0	0.008148148	0.002612359
74	Bombus	hr	none	7495.07798	2072.577709	321.5688697	0.084755845	0.039182821	0.001164229	0.000767393	0.004191223	0.00165231	0	0	0.001791121	0.001131716
75	Bombus	hr	none	6214.099711	2097.841078	232.2423619	0.087165471	0.041473261	0.0013792	0.001383544	0.002507637	0.001378763	0	0	0.000788115	0.000539065
76	Apis	unif	none	12253.82279	2118.983504	183.475922	0.004666667	0.002494438	0	0	0.002	0.001333333	0.02	0.000366949	0.011515152	0.002855568
78	Bombus	hn	adjust	4870.037885	2123.518549	214.2083412	0.046279828	0.0220535	0.002142585	0.002207244	0.002337365	0.001457895	0.00142839	0.001471496	0.000357097	0.000367874
62	Bombus	hr	none	5257.869965	2124.008323	344.2832186	0.098970064	0.049623419	0.00058355	0.00058669	0.0012732	0.000670647	0.001556133	0.001564506	0	0
78	Bombus	hr	adjust	4640.051214	2166.295256	216.1065658	0.044094271	0.022262764	0.002041401	0.00213041	0.002226983	0.001437884	0.001360934	0.001420274	0.000340234	0.000355068
78	Apis	unif	none	6918.180921	2169.520271	138.4116605	0.004666667	0.004666667	0	0	0.001818182	0.000824332	0.001111111	0.001111111	0.008055556	0.002999953
104	Bombus	unif	adjust	14827.8285	2198.195087	203.38515	0.051983937	0.012284662	0.006115757	0.001679006	0.007783691	0.001529971	0	0	0.007056643	0.002106707
62	Bombus	hn	observer	5645.163044	2217.090418	345.3486082	0.1076946	0.051928817	0.000605239	0.000608393	0.001291867	0.000784322	0.00161397	0.001622382	0	0
72	Bombus	hn	none	8479.020429	2244.86524	345.4900022	0.09987769	0.035873657	0.000650245	0.000652813	0.002837434	0.001486827	0.001733988	0.001740835	0.003344119	0.001881511
74	Bombus	hr	observer	8283.425934	2261.383313	320.0417473	0.083839968	0.036284572	0.001294156	0.000870763	0.004547438	0.001723763	0	0	0.002597915	0.001846955
72	Bombus	hn	observer	8379.200779	2273.704299	344.5301185	0.103819726	0.039243684	0.000738411	0.000741967	0.00270124	0.001624059	0.001969096	0.001978578	0.002937371	0.001626763
62	Bombus	hn	none	5683.683585	2274.378097	342.19799	0.106985249	0.053314506	0.000630809	0.000633242	0.001376311	0.000720948	0.001682158	0.001688645	0	0
72	Bombus	unif	adjust	8753.009176	2280.078699	346.1638665	0.103105111	0.036709972	0.000671257	0.000673159	0.002929122	0.001528599	0.001790019	0.00179509	0.00345218	0.001935425
82	Bombus	hr	none	7914.122653	2329.167125	258.1882006	0.052746357	0.026491492	0.004323472	0.002359518	0.002358257	0.001603137	0.004323472	0.004349603	0.001662874	0.000801161
84	Bombus	hn	none	7459.116832	2329.470844	145.2730782	0.032013839	0.007338623	0.003530938	0.002306356	0.002353959	0.00164088	0.002353959	0.0023765	0.003362798	0.001755679
62	Bombus	unif	adjust	5857.765806	2332.058906	342.3633637	0.110262038	0.054766536	0.00065013	0.000652108	0.001418465	0.000740816	0.00173368	0.001738955	0	0
84	Bombus	hn	observer	7532.878448	2348.270613	146.9578098	0.03187555	0.008317143	0.003325259	0.00220929	0.002347637	0.001591685	0.002609234	0.002665031	0.003615364	0.001968428
82	Bombus	hr	observer	8016.51247	2379.323487	261.0567493	0.051973404	0.026612669	0.004220061	0.002351549	0.002455637	0.001639623	0.004314034	0.004342784	0.001883352	0.001116337
84	Bombus	unif	adjust	7788.032076	2405.966163	145.0554888	0.033425513	0.007508165	0.003686637	0.002402146	0.002457758	0.001709544	0.002457758	0.002478746	0.003511083	0.001826049
84	Bombus	hr	none	7216.271729	2413.647938	146.5534094	0.03097157	0.00801018	0.003415982	0.00226846	0.002277321	0.001610715	0.002277321	0.002315247	0.003253316	0.001742631
72	Bombus	hr	adjust	8099.771444	2426.735453	348.4498427	0.095410368	0.036788755	0.000621161	0.000629669	0.002710522	0.001470313	0.00165643	0.001679118	0.003194544	0.001852349
